open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-17 19:20:00,27971.17,27971.17,27917.12000000,27919.76,94.37642000,2023-08-17 19:20:00,2637520.56618100,2511,35.72481000,998220.99958080,0
2023-08-17 19:25:00,27919.76,27955.27,27918.11000000,27955.26,130.14095000,2023-08-17 19:25:00,3635444.56660460,2554,75.43170000,2107092.13929860,0
2023-08-17 19:30:00,27955.26,27967.04,27951.07000000,27964.46,69.08883000,2023-08-17 19:30:00,1931801.94718220,2122,19.37950000,541829.99179360,0
2023-08-17 19:35:00,27964.46,27975.59,27944.78000000,27945.33,150.19421000,2023-08-17 19:35:00,4199637.13562040,2760,70.36450000,1967467.03011420,0
2023-08-17 19:40:00,27945.33,27945.68,27928.20000000,27928.2,98.93407000,2023-08-17 19:40:00,2763998.46953310,2204,32.69435000,913370.23861180,0
2023-08-17 19:45:00,27928.2,27954.0,27928.20000000,27935.52,138.51350000,2023-08-17 19:45:00,3870101.06251090,2799,52.07902000,1455021.74165680,0
2023-08-17 19:50:00,27935.52,27949.33,27931.62000000,27931.63,92.32200000,2023-08-17 19:50:00,2579396.88287290,2117,36.32051000,1014704.41214970,0
2023-08-17 19:55:00,27931.62,27932.0,27891.19000000,27894.01,144.19858000,2023-08-17 19:55:00,4024309.82747540,2919,38.60041000,1077069.46518620,0
2023-08-17 20:00:00,27894.0,27920.23,27894.00000000,27898.8,120.94900000,2023-08-17 20:00:00,3375570.44384020,2690,65.97418000,1841129.24818900,0
2023-08-17 20:05:00,27898.79,27898.8,27876.00000000,27895.23,88.10995000,2023-08-17 20:05:00,2457416.33355700,2498,38.25888000,1066939.08802370,0
2023-08-17 20:10:00,27895.23,27895.65,27874.00000000,27875.77,85.91711000,2023-08-17 20:10:00,2395824.99338160,2461,29.05231000,810043.13466970,0
2023-08-17 20:15:00,27875.77,27878.58,27831.67000000,27833.65,203.08351000,2023-08-17 20:15:00,5656127.42126330,4725,73.30595000,2041362.71053600,0
2023-08-17 20:20:00,27833.65,27860.13,27824.33000000,27825.05,125.45323000,2023-08-17 20:20:00,3492751.59924930,2804,52.23754000,1454209.88663500,0
2023-08-17 20:25:00,27825.04,27833.77,27813.70000000,27817.56,83.96155000,2023-08-17 20:25:00,2336203.75645350,2590,40.43769000,1125083.11485690,0
2023-08-17 20:30:00,27817.56,27850.0,27817.55000000,27822.55,99.15088000,2023-08-17 20:30:00,2759892.15643130,2524,50.31089000,1400444.47222990,0
2023-08-17 20:35:00,27822.56,27830.29,27733.74000000,27752.01,536.18803000,2023-08-17 20:35:00,14895464.11086460,9494,233.38991000,6483548.95805750,0
2023-08-17 20:40:00,27752.0,27776.84,27720.00000000,27734.52,304.92241000,2023-08-17 20:40:00,8459004.70679950,6562,160.31445000,4447173.89433600,0
2023-08-17 20:45:00,27734.51,27759.59,27715.32000000,27715.33,209.08809000,2023-08-17 20:45:00,5798348.42544290,4637,91.82638000,2546362.66165880,0
2023-08-17 20:50:00,27715.33,27720.0,27530.00000000,27570.0,1575.23843000,2023-08-17 20:50:00,43504706.79103320,23618,646.21289000,17845597.22589270,0
2023-08-17 20:55:00,27570.0,27680.24,27565.67000000,27679.57,586.01445000,2023-08-17 20:55:00,16193231.73593470,9070,324.51563000,8967471.98984460,0
2023-08-17 21:00:00,27679.56,27737.83,27670.00000000,27676.46,357.02214000,2023-08-17 21:00:00,9890423.44529320,6750,157.09500000,4351700.66675790,0
2023-08-17 21:05:00,27676.47,27691.62,27655.13000000,27686.51,198.74587000,2023-08-17 21:05:00,5499971.77660620,4438,97.91401000,2709517.23385640,0
